city,state_id,state_name,timezone
Staten Island,NY,New York,America/New_York
Wichita,KS,Kansas,America/Chicago
Toledo,OH,Ohio,America/New_York
Harrisburg,PA,Pennsylvania,America/New_York
Port St. Lucie,FL,Florida,America/New_York
Long Beach,CA,California,America/Los_Angeles
Reno,NV,Nevada,America/Los_Angeles
Madison,WI,Wisconsin,America/Chicago
Little Rock,AR,Arkansas,America/Chicago
Greenville,SC,South Carolina,America/New_York
Denton,TX,Texas,America/Chicago
Spokane,WA,Washington,America/Los_Angeles
Oakland,CA,California,America/Los_Angeles
Lancaster,PA,Pennsylvania,America/New_York
Poughkeepsie,NY,New York,America/New_York
Boise,ID,Idaho,America/Boise
Winston-Salem,NC,North Carolina,America/New_York
Syracuse,NY,New York,America/New_York
Augusta,GA,Georgia,America/New_York
Stockton,CA,California,America/Los_Angeles
Palm Coast,FL,Florida,America/New_York
Chattanooga,TN,Tennessee,America/New_York
Kissimmee,FL,Florida,America/New_York
Durham,NC,North Carolina,America/New_York
Arlington,TX,Texas,America/Chicago
Victorville,CA,California,America/Los_Angeles
Aurora,CO,Colorado,America/Denver
Modesto,CA,California,America/Los_Angeles
Lancaster,CA,California,America/Los_Angeles
Fayetteville,AR,Arkansas,America/Chicago
Scranton,PA,Pennsylvania,America/New_York
Oxnard,CA,California,America/Los_Angeles
Youngstown,OH,Ohio,America/New_York
Indio,CA,California,America/Los_Angeles
Pensacola,FL,Florida,America/Chicago
Anaheim,CA,California,America/Los_Angeles
Bonita Springs,FL,Florida,America/New_York
Greensboro,NC,North Carolina,America/New_York
Huntsville,AL,Alabama,America/Chicago
Corpus Christi,TX,Texas,America/Chicago
Fort Wayne,IN,Indiana,America/Indiana/Indianapolis
Fayetteville,NC,North Carolina,America/New_York
Ann Arbor,MI,Michigan,America/Detroit
Jackson,MS,Mississippi,America/Chicago
Antioch,CA,California,America/Los_Angeles
Mobile,AL,Alabama,America/Chicago
Lexington,KY,Kentucky,America/New_York
Asheville,NC,North Carolina,America/New_York
Trenton,NJ,New Jersey,America/New_York
Santa Rosa,CA,California,America/Los_Angeles
Santa Ana,CA,California,America/Los_Angeles
Lansing,MI,Michigan,America/Detroit
Henderson,NV,Nevada,America/Los_Angeles
St. Paul,MN,Minnesota,America/Chicago
Lakeland,FL,Florida,America/New_York
Newark,NJ,New Jersey,America/New_York
Fort Collins,CO,Colorado,America/Denver
Reading,PA,Pennsylvania,America/New_York
Springfield,MO,Missouri,America/Chicago
Irvine,CA,California,America/Los_Angeles
Anchorage,AK,Alaska,America/Anchorage
The Woodlands,TX,Texas,America/Chicago
South Bend,IN,Indiana,America/Indiana/Indianapolis
Rockford,IL,Illinois,America/Chicago
Savannah,GA,Georgia,America/New_York
Lincoln,NE,Nebraska,America/Chicago
Jersey City,NJ,New Jersey,America/New_York
Round Lake Beach,IL,Illinois,America/Chicago
Flint,MI,Michigan,America/Detroit
Shreveport,LA,Louisiana,America/Chicago
Plano,TX,Texas,America/Chicago
Myrtle Beach,SC,South Carolina,America/New_York
Davenport,IA,Iowa,America/Chicago
Canton,OH,Ohio,America/New_York
Santa Clarita,CA,California,America/Los_Angeles
Chula Vista,CA,California,America/Los_Angeles
Eugene,OR,Oregon,America/Los_Angeles
Chandler,AZ,Arizona,America/Phoenix
Salem,OR,Oregon,America/Los_Angeles
Concord,NC,North Carolina,America/New_York
Gilbert,AZ,Arizona,America/Phoenix
Columbus,GA,Georgia,America/New_York
Aguadilla,PR,Puerto Rico,America/Puerto_Rico
Lubbock,TX,Texas,America/Chicago
North Las Vegas,NV,Nevada,America/Los_Angeles
St. Petersburg,FL,Florida,America/New_York
Tallahassee,FL,Florida,America/New_York
Laredo,TX,Texas,America/Chicago
Peoria,IL,Illinois,America/Chicago
Avondale,AZ,Arizona,America/Phoenix
Lafayette,LA,Louisiana,America/Chicago
Irving,TX,Texas,America/Chicago
Montgomery,AL,Alabama,America/Chicago
Visalia,CA,California,America/Los_Angeles
McKinney,TX,Texas,America/Chicago
Wilmington,NC,North Carolina,America/New_York
Chesapeake,VA,Virginia,America/New_York
Glendale,AZ,Arizona,America/Phoenix
Garland,TX,Texas,America/Chicago
Kennewick,WA,Washington,America/Los_Angeles
Winter Haven,FL,Florida,America/New_York
Scottsdale,AZ,Arizona,America/Phoenix
Norfolk,VA,Virginia,America/New_York
Killeen,TX,Texas,America/Chicago
York,PA,Pennsylvania,America/New_York
Atlantic City,NJ,New Jersey,America/New_York
Nashua,NH,New Hampshire,America/New_York
Arlington,VA,Virginia,America/New_York
Brownsville,TX,Texas,America/Matamoros
Fremont,CA,California,America/Los_Angeles
Gulfport,MS,Mississippi,America/Chicago
Evansville,IN,Indiana,America/Chicago
Hialeah,FL,Florida,America/New_York
Navarre,FL,Florida,America/Chicago
Bel Air South,MD,Maryland,America/New_York
North Port,FL,Florida,America/New_York
San Bernardino,CA,California,America/Los_Angeles
Portland,ME,Maine,America/New_York
Enterprise,NV,Nevada,America/Los_Angeles
Bremerton,WA,Washington,America/Los_Angeles
Green Bay,WI,Wisconsin,America/Chicago
Appleton,WI,Wisconsin,America/Chicago
Spring Valley,NV,Nevada,America/Los_Angeles
Tacoma,WA,Washington,America/Los_Angeles
Spartanburg,SC,South Carolina,America/New_York
Roanoke,VA,Virginia,America/New_York
Gainesville,FL,Florida,America/New_York
Deltona,FL,Florida,America/New_York
Kalamazoo,MI,Michigan,America/Detroit
Thousand Oaks,CA,California,America/Los_Angeles
Hickory,NC,North Carolina,America/New_York
Yonkers,NY,New York,America/New_York
Moreno Valley,CA,California,America/Los_Angeles
Fontana,CA,California,America/Los_Angeles
College Station,TX,Texas,America/Chicago
Fargo,ND,North Dakota,America/Chicago
Amarillo,TX,Texas,America/Chicago
Norwich,CT,Connecticut,America/New_York
Olympia,WA,Washington,America/Los_Angeles
Waterbury,CT,Connecticut,America/New_York
Salinas,CA,California,America/Los_Angeles
Huntington,WV,West Virginia,America/New_York
Huntington Beach,CA,California,America/Los_Angeles
Clarksville,TN,Tennessee,America/Chicago
Santa Barbara,CA,California,America/Los_Angeles
Glendale,CA,California,America/Los_Angeles
Sunrise Manor,NV,Nevada,America/Los_Angeles
Grand Prairie,TX,Texas,America/Chicago
Overland Park,KS,Kansas,America/Chicago
Hagerstown,MD,Maryland,America/New_York
Nampa,ID,Idaho,America/Boise
Gastonia,NC,North Carolina,America/New_York
Frisco,TX,Texas,America/Chicago
Cedar Rapids,IA,Iowa,America/Chicago
Hemet,CA,California,America/Los_Angeles
Paradise,NV,Nevada,America/Los_Angeles
Sioux Falls,SD,South Dakota,America/Chicago
Vancouver,WA,Washington,America/Los_Angeles
Peoria,AZ,Arizona,America/Phoenix
Waco,TX,Texas,America/Chicago
Lorain,OH,Ohio,America/New_York
Erie,PA,Pennsylvania,America/New_York
Newport News,VA,Virginia,America/New_York
Aurora,IL,Illinois,America/Chicago
Fort Lauderdale,FL,Florida,America/New_York
Vallejo,CA,California,America/Los_Angeles
Murfreesboro,TN,Tennessee,America/Chicago
Spring Hill,FL,Florida,America/New_York
Tempe,AZ,Arizona,America/Phoenix
High Point,NC,North Carolina,America/New_York
Medford,OR,Oregon,America/Los_Angeles
Danbury,CT,Connecticut,America/New_York
Elk Grove,CA,California,America/Los_Angeles
Ontario,CA,California,America/Los_Angeles
Frederick,MD,Maryland,America/New_York
Vero Beach South,FL,Florida,America/New_York
Ocala,FL,Florida,America/New_York
Oceanside,CA,California,America/Los_Angeles
Rancho Cucamonga,CA,California,America/Los_Angeles
Garden Grove,CA,California,America/Los_Angeles
Cary,NC,North Carolina,America/New_York
Pembroke Pines,FL,Florida,America/New_York
Bayamón,PR,Puerto Rico,America/Puerto_Rico
Palmdale,CA,California,America/Los_Angeles
Manchester,NH,New Hampshire,America/New_York
Lafayette,IN,Indiana,America/Indiana/Indianapolis
Santa Cruz,CA,California,America/Los_Angeles
Marysville,WA,Washington,America/Los_Angeles
Muskegon,MI,Michigan,America/Detroit
Springfield,IL,Illinois,America/Chicago
Hayward,CA,California,America/Los_Angeles
New Bedford,MA,Massachusetts,America/New_York
Alexandria,VA,Virginia,America/New_York
Paterson,NJ,New Jersey,America/New_York
Corona,CA,California,America/Los_Angeles
Merced,CA,California,America/Los_Angeles
Warner Robins,GA,Georgia,America/New_York
Port Arthur,TX,Texas,America/Chicago
Macon,GA,Georgia,America/New_York
Kansas City,KS,Kansas,America/Chicago
Lakewood,CO,Colorado,America/Denver
Sunnyvale,CA,California,America/Los_Angeles
Fredericksburg,VA,Virginia,America/New_York
Leesburg,FL,Florida,America/New_York
Champaign,IL,Illinois,America/Chicago
Hollywood,FL,Florida,America/New_York
Pasadena,TX,Texas,America/Chicago
Pomona,CA,California,America/Los_Angeles
Escondido,CA,California,America/Los_Angeles
Joliet,IL,Illinois,America/Chicago
Lake Charles,LA,Louisiana,America/Chicago
Mesquite,TX,Texas,America/Chicago
Mauldin,SC,South Carolina,America/New_York
Panama City,FL,Florida,America/Chicago
Bellevue,WA,Washington,America/Los_Angeles
Naperville,IL,Illinois,America/Chicago
Harlingen,TX,Texas,America/Chicago
Tuscaloosa,AL,Alabama,America/Chicago
Elkhart,IN,Indiana,America/Indiana/Indianapolis
Torrance,CA,California,America/Los_Angeles
Binghamton,NY,New York,America/New_York
Houma,LA,Louisiana,America/Chicago
Topeka,KS,Kansas,America/Chicago
Roseville,CA,California,America/Los_Angeles
Fairfield,CA,California,America/Los_Angeles
Tyler,TX,Texas,America/Chicago
Fullerton,CA,California,America/Los_Angeles
Pueblo,CO,Colorado,America/Denver
Athens,GA,Georgia,America/New_York
Santa Maria,CA,California,America/Los_Angeles
Surprise,AZ,Arizona,America/Phoenix
Charleston,WV,West Virginia,America/New_York
Las Cruces,NM,New Mexico,America/Denver
Metairie,LA,Louisiana,America/Chicago
Thornton,CO,Colorado,America/Denver
Olathe,KS,Kansas,America/Chicago
Carolina,PR,Puerto Rico,America/Puerto_Rico
Gainesville,GA,Georgia,America/New_York
West Valley City,UT,Utah,America/Denver
Orange,CA,California,America/Los_Angeles
Warren,MI,Michigan,America/Detroit
Pasadena,CA,California,America/Los_Angeles
Beaumont,TX,Texas,America/Chicago
Burlington,NC,North Carolina,America/New_York
Hampton,VA,Virginia,America/New_York
Columbia,MO,Missouri,America/Chicago
Yuma,AZ,Arizona,America/Phoenix
Elizabeth,NJ,New Jersey,America/New_York
Racine,WI,Wisconsin,America/Chicago
Greeley,CO,Colorado,America/Denver
Kent,WA,Washington,America/Los_Angeles
Stamford,CT,Connecticut,America/New_York
Odessa,TX,Texas,America/Chicago
Bloomington,IL,Illinois,America/Chicago
Miramar,FL,Florida,America/New_York
Grand Junction,CO,Colorado,America/Denver
Sterling Heights,MI,Michigan,America/Detroit
Coral Springs,FL,Florida,America/New_York
Johnson City,TN,Tennessee,America/New_York
Carrollton,TX,Texas,America/Chicago
Midland,TX,Texas,America/Chicago
Yakima,WA,Washington,America/Los_Angeles
Bellingham,WA,Washington,America/Los_Angeles
Yuba City,CA,California,America/Los_Angeles
South Lyon,MI,Michigan,America/Detroit
Santa Clara,CA,California,America/Los_Angeles
St. George,UT,Utah,America/Denver
Fort Smith,AR,Arkansas,America/Chicago
Simi Valley,CA,California,America/Los_Angeles
Dover,DE,Delaware,America/New_York
Norman,OK,Oklahoma,America/Chicago
Abilene,TX,Texas,America/Chicago
Billings,MT,Montana,America/Denver
Ponce,PR,Puerto Rico,America/Puerto_Rico
Lehigh Acres,FL,Florida,America/New_York
St. Cloud,MN,Minnesota,America/Chicago
Arecibo,PR,Puerto Rico,America/Puerto_Rico
Kenosha,WI,Wisconsin,America/Chicago
Greenville,NC,North Carolina,America/New_York
Arvada,CO,Colorado,America/Denver
Pearland,TX,Texas,America/Chicago
Independence,MO,Missouri,America/Chicago
Texas City,TX,Texas,America/Chicago
Redding,CA,California,America/Los_Angeles
Lynchburg,VA,Virginia,America/New_York
Boulder,CO,Colorado,America/Denver
Iowa City,IA,Iowa,America/Chicago
Rochester,MN,Minnesota,America/Chicago
Berkeley,CA,California,America/Los_Angeles
Waldorf,MD,Maryland,America/New_York
The Villages,FL,Florida,America/New_York
Duluth,MN,Minnesota,America/Chicago
East Los Angeles,CA,California,America/Los_Angeles
Saginaw,MI,Michigan,America/Detroit
Clovis,CA,California,America/Los_Angeles
Leominster,MA,Massachusetts,America/New_York
Round Rock,TX,Texas,America/Chicago
Monroe,LA,Louisiana,America/Chicago
Cambridge,MA,Massachusetts,America/New_York
Clearwater,FL,Florida,America/New_York
Seaside,CA,California,America/Los_Angeles
West Jordan,UT,Utah,America/Denver
Richardson,TX,Texas,America/Chicago
West Palm Beach,FL,Florida,America/New_York
Temple,TX,Texas,America/Chicago
Burlington,VT,Vermont,America/New_York
Richmond,CA,California,America/Los_Angeles
Westminster,CO,Colorado,America/Denver
Pottstown,PA,Pennsylvania,America/New_York
Brandon,FL,Florida,America/New_York
Rock Hill,SC,South Carolina,America/New_York
Meridian,ID,Idaho,America/Boise
Coeur d'Alene,ID,Idaho,America/Los_Angeles
Carlsbad,CA,California,America/Los_Angeles
Lowell,MA,Massachusetts,America/New_York
Waterloo,IA,Iowa,America/Chicago
North Charleston,SC,South Carolina,America/New_York
Gilroy,CA,California,America/Los_Angeles
Downey,CA,California,America/Los_Angeles
Gresham,OR,Oregon,America/Los_Angeles
Elgin,IL,Illinois,America/Chicago
Utica,NY,New York,America/New_York
Broken Arrow,OK,Oklahoma,America/Chicago
Costa Mesa,CA,California,America/Los_Angeles
Chico,CA,California,America/Los_Angeles
Sioux City,IA,Iowa,America/Chicago
League City,TX,Texas,America/Chicago
Miami Gardens,FL,Florida,America/New_York
Pompano Beach,FL,Florida,America/New_York
San Buenaventura,CA,California,America/Los_Angeles
Everett,WA,Washington,America/Los_Angeles
El Centro,CA,California,America/Los_Angeles
Sugar Land,TX,Texas,America/Chicago
El Monte,CA,California,America/Los_Angeles
Lewisville,TX,Texas,America/Chicago
West Covina,CA,California,America/Los_Angeles
Temecula,CA,California,America/Los_Angeles
Bend,OR,Oregon,America/Los_Angeles
Salisbury,MD,Maryland,America/New_York
Jacksonville,NC,North Carolina,America/New_York
Inglewood,CA,California,America/Los_Angeles
Dearborn,MI,Michigan,America/Detroit
Centennial,CO,Colorado,America/Denver
Burbank,CA,California,America/Los_Angeles
Sparks,NV,Nevada,America/Los_Angeles
Sandy Springs,GA,Georgia,America/New_York
Bloomington,IN,Indiana,America/Indiana/Indianapolis
Logan,UT,Utah,America/Denver
Kailua,HI,Hawaii,Pacific/Honolulu
El Cajon,CA,California,America/Los_Angeles
Hillsboro,OR,Oregon,America/Los_Angeles
South Fulton,GA,Georgia,America/New_York
Renton,WA,Washington,America/Los_Angeles
Mandeville,LA,Louisiana,America/Chicago
San Mateo,CA,California,America/Los_Angeles
Columbia,MD,Maryland,America/New_York
Daly City,CA,California,America/Los_Angeles
Davie,FL,Florida,America/New_York
Jurupa Valley,CA,California,America/Los_Angeles
Brockton,MA,Massachusetts,America/New_York
Longmont,CO,Colorado,America/Denver
Rialto,CA,California,America/Los_Angeles
San Germán,PR,Puerto Rico,America/Puerto_Rico
Eau Claire,WI,Wisconsin,America/Chicago
Turlock,CA,California,America/Los_Angeles
Norwalk,CA,California,America/Los_Angeles
Highlands Ranch,CO,Colorado,America/Denver
Allen,TX,Texas,America/Chicago
Wichita Falls,TX,Texas,America/Chicago
Rio Rancho,NM,New Mexico,America/Denver
Vacaville,CA,California,America/Los_Angeles
Spokane Valley,WA,Washington,America/Los_Angeles
Charlottesville,VA,Virginia,America/New_York
Idaho Falls,ID,Idaho,America/Boise
Menifee,CA,California,America/Los_Angeles
Lee's Summit,MO,Missouri,America/Chicago
Quincy,MA,Massachusetts,America/New_York
San Angelo,TX,Texas,America/Chicago
Lynn,MA,Massachusetts,America/New_York
Holland,MI,Michigan,America/Detroit
Federal Way,WA,Washington,America/Los_Angeles
Manteca,CA,California,America/Los_Angeles
Lafayette,CO,Colorado,America/Denver
Santa Fe,NM,New Mexico,America/Denver
Hesperia,CA,California,America/Los_Angeles
La Crosse,WI,Wisconsin,America/Chicago
Riverview,FL,Florida,America/New_York
Kingsport,TN,Tennessee,America/New_York
Edinburg,TX,Texas,America/Chicago
Vista,CA,California,America/Los_Angeles
Bowling Green,KY,Kentucky,America/Chicago
Carmel,IN,Indiana,America/Indiana/Indianapolis
Longview,TX,Texas,America/Chicago
Tracy,CA,California,America/Los_Angeles
Prescott Valley,AZ,Arizona,America/Phoenix
Beaverton,OR,Oregon,America/Los_Angeles
Portsmouth,NH,New Hampshire,America/New_York
Portsmouth,VA,Virginia,America/New_York
Fishers,IN,Indiana,America/Indiana/Indianapolis
Orem,UT,Utah,America/Denver
Sandy,UT,Utah,America/Denver
Sunrise,FL,Florida,America/New_York
San Tan Valley,AZ,Arizona,America/Phoenix
Compton,CA,California,America/Los_Angeles
Arden-Arcade,CA,California,America/Los_Angeles
Hanford,CA,California,America/Los_Angeles
Boca Raton,FL,Florida,America/New_York
Middletown,OH,Ohio,America/New_York
Livonia,MI,Michigan,America/Detroit
Carson,CA,California,America/Los_Angeles
Lawrence,KS,Kansas,America/Chicago
Slidell,LA,Louisiana,America/Chicago
Blacksburg,VA,Virginia,America/New_York
San Marcos,CA,California,America/Los_Angeles
Goodyear,AZ,Arizona,America/Phoenix
Edmond,OK,Oklahoma,America/Chicago
Mayagüez,PR,Puerto Rico,America/Puerto_Rico
Fall River,MA,Massachusetts,America/New_York
South Gate,CA,California,America/Los_Angeles
Suffolk,VA,Virginia,America/New_York
Terre Haute,IN,Indiana,America/Indiana/Indianapolis
Missoula,MT,Montana,America/Denver
Santa Monica,CA,California,America/Los_Angeles
Roswell,GA,Georgia,America/New_York
Vineland,NJ,New Jersey,America/New_York
Plantation,FL,Florida,America/New_York
Alafaya,FL,Florida,America/New_York
Kirkland,WA,Washington,America/Los_Angeles
Hoover,AL,Alabama,America/Chicago
Westminster,CA,California,America/Los_Angeles
Lawton,OK,Oklahoma,America/Chicago
San Leandro,CA,California,America/Los_Angeles
Auburn,AL,Alabama,America/Chicago
Norwalk,CT,Connecticut,America/New_York
O'Fallon,MO,Missouri,America/Chicago
Chino,CA,California,America/Los_Angeles
Germantown,MD,Maryland,America/New_York
Dover,NH,New Hampshire,America/New_York
Bismarck,ND,North Dakota,America/Chicago
Waukegan,IL,Illinois,America/Chicago
Buckeye,AZ,Arizona,America/Phoenix
Town 'n' Country,FL,Florida,America/New_York
Clifton,NJ,New Jersey,America/New_York
Bloomington,MN,Minnesota,America/Chicago
Mount Pleasant,SC,South Carolina,America/New_York
Florence,SC,South Carolina,America/New_York
Newton,MA,Massachusetts,America/New_York
State College,PA,Pennsylvania,America/New_York
Livermore,CA,California,America/Los_Angeles
Rapid City,SD,South Dakota,America/Denver
Decatur,IL,Illinois,America/Chicago
Dalton,GA,Georgia,America/New_York
Conroe,TX,Texas,America/Chicago
Hawthorne,CA,California,America/Los_Angeles
Lawrence,MA,Massachusetts,America/New_York
New Braunfels,TX,Texas,America/Chicago
Citrus Heights,CA,California,America/Los_Angeles
Jackson,MI,Michigan,America/Detroit
Whittier,CA,California,America/Los_Angeles
Muncie,IN,Indiana,America/Indiana/Indianapolis
Troy,MI,Michigan,America/Detroit
Homosassa Springs,FL,Florida,America/New_York
Port Huron,MI,Michigan,America/Detroit
Napa,CA,California,America/Los_Angeles
Deerfield Beach,FL,Florida,America/New_York
Springdale,AR,Arkansas,America/Chicago
Newport Beach,CA,California,America/Los_Angeles
Anderson,IN,Indiana,America/Indiana/Indianapolis
San Ramon,CA,California,America/Los_Angeles
Lake Forest,CA,California,America/Los_Angeles
Mission,TX,Texas,America/Chicago
Auburn,WA,Washington,America/Los_Angeles
Brooklyn Park,MN,Minnesota,America/Chicago
Bryan,TX,Texas,America/Chicago
Springfield,OH,Ohio,America/New_York
Hattiesburg,MS,Mississippi,America/Chicago
Westland,MI,Michigan,America/Detroit
Cicero,IL,Illinois,America/Chicago
Albany,GA,Georgia,America/New_York
Fort Myers,FL,Florida,America/New_York
Pine Hills,FL,Florida,America/New_York
Atascocita,TX,Texas,America/Chicago
Buena Park,CA,California,America/Los_Angeles
Redwood City,CA,California,America/Los_Angeles
Farmington Hills,MI,Michigan,America/Detroit
Alton,IL,Illinois,America/Chicago
Melbourne,FL,Florida,America/New_York
Miami Beach,FL,Florida,America/New_York
Alhambra,CA,California,America/Los_Angeles
Williamsburg,VA,Virginia,America/New_York
Madera,CA,California,America/Los_Angeles
Warwick,RI,Rhode Island,America/New_York
Cranston,RI,Rhode Island,America/New_York
Baytown,TX,Texas,America/Chicago
Largo,FL,Florida,America/New_York
Silver Spring,MD,Maryland,America/New_York
Lakewood,CA,California,America/Los_Angeles
Mountain View,CA,California,America/Los_Angeles
Kankakee,IL,Illinois,America/Chicago
Johns Creek,GA,Georgia,America/New_York
Flagstaff,AZ,Arizona,America/Phoenix
Franklin,TN,Tennessee,America/Chicago
Joplin,MO,Missouri,America/Chicago
Parma,OH,Ohio,America/New_York
Layton,UT,Utah,America/Denver
New Rochelle,NY,New York,America/New_York
Anderson,SC,South Carolina,America/New_York
Lebanon,PA,Pennsylvania,America/New_York
Somerville,MA,Massachusetts,America/New_York
Yauco,PR,Puerto Rico,America/Puerto_Rico
St. Joseph,MO,Missouri,America/Chicago
Plymouth,MN,Minnesota,America/Chicago
Tustin,CA,California,America/Los_Angeles
Zephyrhills,FL,Florida,America/New_York
Milpitas,CA,California,America/Los_Angeles
Florence,AL,Alabama,America/Chicago
Pleasanton,CA,California,America/Los_Angeles
Boynton Beach,FL,Florida,America/New_York
Texarkana,TX,Texas,America/Chicago
Folsom,CA,California,America/Los_Angeles
Bellflower,CA,California,America/Los_Angeles
Pharr,TX,Texas,America/Chicago
Homestead,FL,Florida,America/New_York
Valdosta,GA,Georgia,America/New_York
Upland,CA,California,America/Los_Angeles
Evanston,IL,Illinois,America/Chicago
Newark,OH,Ohio,America/New_York
Elizabethtown,KY,Kentucky,America/New_York
St. Augustine,FL,Florida,America/New_York
Rancho Cordova,CA,California,America/Los_Angeles
Alameda,CA,California,America/Los_Angeles
Chino Hills,CA,California,America/Los_Angeles
Perris,CA,California,America/Los_Angeles
Schaumburg,IL,Illinois,America/Chicago
Kendall,FL,Florida,America/New_York
Camarillo,CA,California,America/Los_Angeles
Anniston,AL,Alabama,America/Chicago
Sumter,SC,South Carolina,America/New_York
Jonesboro,AR,Arkansas,America/Chicago
Hammond,IN,Indiana,America/Chicago
Carmichael,CA,California,America/Los_Angeles
Arlington Heights,IL,Illinois,America/Chicago
Morgantown,WV,West Virginia,America/New_York
Wyoming,MI,Michigan,America/Detroit
Cheyenne,WY,Wyoming,America/Denver
Pasco,WA,Washington,America/Los_Angeles
Watsonville,CA,California,America/Los_Angeles
Southfield,MI,Michigan,America/Detroit
Wausau,WI,Wisconsin,America/Chicago
Rochester Hills,MI,Michigan,America/Detroit
Loveland,CO,Colorado,America/Denver
Alexandria,LA,Louisiana,America/Chicago
Pittsburg,CA,California,America/Los_Angeles
Hammond,LA,Louisiana,America/Chicago
South Jordan,UT,Utah,America/Denver
Battle Creek,MI,Michigan,America/Detroit
Bethlehem,PA,Pennsylvania,America/New_York
Fajardo,PR,Puerto Rico,America/Puerto_Rico
Davis,CA,California,America/Los_Angeles
Apple Valley,CA,California,America/Los_Angeles
Pawtucket,RI,Rhode Island,America/New_York
Wheeling,WV,West Virginia,America/New_York
Flower Mound,TX,Texas,America/Chicago
Harrisonburg,VA,Virginia,America/New_York
Cedar Park,TX,Texas,America/Chicago
Oshkosh,WI,Wisconsin,America/Chicago
Winchester,VA,Virginia,America/New_York
Caguas,PR,Puerto Rico,America/Puerto_Rico
Ellicott City,MD,Maryland,America/New_York
Pocatello,ID,Idaho,America/Boise
Hilton Head Island,SC,South Carolina,America/New_York
New Britain,CT,Connecticut,America/New_York
Mansfield,OH,Ohio,America/New_York
Woodbury,MN,Minnesota,America/Chicago
Lauderhill,FL,Florida,America/New_York
Lehi,UT,Utah,America/Denver
Bolingbrook,IL,Illinois,America/Chicago
